ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2017	30-AUG-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	2.5407	SODIUM HYPOCHLORITE	.3175875	55	?	O
NO	2017	12-JAN-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	5.0813	SODIUM HYPOCHLORITE	.6351625	220	?	O
NO	2017	16-MAR-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	660	?	O
NO	2017	20-MAR-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	385	?	O
NO	2017	15-MAY-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	880	?	O
NO	2017	17-MAY-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	550	?	O
NO	2017	19-MAR-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	440	?	O
NO	2017	16-MAY-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	440	?	O
NO	2017	31-AUG-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	2.5407	SODIUM HYPOCHLORITE	.3175875	55	?	O
NO	2017	11-JAN-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	770	?	O
NO	2017	15-JAN-17	SONOMA	49M07N09W27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	MULTI-CHLOR	10.1626	SODIUM HYPOCHLORITE	1.270325	495	?	O
